level5.5_linkID,ITS_linkID,road_rank,road_length,road_name,sido_code,sigungu_code,emd_code,sido_name,sigungu_name,emd_name,week_type,velocity_AVRG
1080466,2230009304,107,0.327,청학로,31,31140,3114054,경기도,오산시,신장동,weekend,27.64
1080467,2230009405,107,0.28,청학로,31,31140,3114054,경기도,오산시,신장동,weekend,17.36
1080468,2230058200,107,0.31,수청로,31,31140,3114054,경기도,오산시,신장동,weekend,25.57
1080469,2230160801,107,0.579,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,50.54
1080470,2230160902,107,0.186,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,29
1080471,2230159602,107,0.088,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,53.22
1080472,2230159702,107,0.089,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,53.69
1080473,2230182400,107,0.348,문헌공로,31,31140,3114054,경기도,오산시,신장동,weekend,27.33
1080474,2230181500,107,0.856,수청로,31,31140,3114054,경기도,오산시,신장동,weekend,25.9
1080475,2230159400,107,0.389,독산성로,31,31140,3114055,경기도,오산시,세마동,weekend,45.24
1080476,2230160100,107,0.236,독산성로,31,31140,3114055,경기도,오산시,세마동,weekend,27.2
1080477,2230173600,107,0.712,,31,31140,3114055,경기도,오산시,세마동,weekend,36.45
1080478,2230173100,107,0.712,양산로,31,31140,3114055,경기도,오산시,세마동,weekend,35.53
1080479,2230171400,107,0.934,양산로,31,31140,3114055,경기도,오산시,세마동,weekend,33.48
1080480,0,107,0.418,큰말길,31,31140,3114055,경기도,오산시,세마동,weekend,37.72
1080481,2230172200,107,0.936,양산로410번길,31,31140,3114055,경기도,오산시,세마동,weekend,23.83
1080482,2230066802,107,0.09,양산로398번길,31,31140,3114055,경기도,오산시,세마동,weekend,23.71
1080483,0,107,0.719,서부로,31,31140,3114055,경기도,오산시,세마동,weekend,79.02
1080484,0,107,0.719,서부로,31,31140,3114055,경기도,오산시,세마동,weekend,90.32
1080485,2230157501,107,0.106,서부로,31,31140,3114055,경기도,오산시,세마동,weekend,78.19
1080486,2230157401,107,0.371,서부로,31,31140,3114055,경기도,오산시,세마동,weekend,77.95
1080487,0,107,0.195,양산로,31,31140,3114055,경기도,오산시,세마동,weekend,33.33
1080488,0,107,0.293,서부로,31,31140,3114055,경기도,오산시,세마동,weekend,42.57
1080489,0,107,0.188,양산로398번길,31,31140,3114055,경기도,오산시,세마동,weekend,26.21
1080490,2230157502,107,0.371,서부로,31,31140,3114055,경기도,오산시,세마동,weekend,85.77
1080491,2230157401,107,0.416,서부로,31,31140,3114055,경기도,오산시,세마동,weekend,79.68
