,link_id,week_type,velocity_CG_AVRG
573,571250374,weekend,12.41
574,571250374,weekend,11.96
575,571250376,weekend,11.96
576,571250376,weekend,12.41
577,571250378,weekend,12.41
578,571250378,weekend,11.96
579,571250558,weekend,19.1
580,571250568,weekend,15.45
581,571250568,weekend,11.14
582,571250570,weekend,13.72
583,571250576,weekend,9.15
584,571250578,weekend,13.34
585,571250580,weekend,13.34
586,571250582,weekend,21.36
587,571250584,weekend,21.36
588,571250586,weekend,19.59
589,571250604,weekend,9.15
590,571250608,weekend,36.69
591,571250608,weekend,40.83
592,571250614,weekend,36.69
593,571250614,weekend,40.83
594,571250618,weekend,41.86
595,571250618,weekend,28.91
596,571250620,weekend,10.44
597,571250624,weekend,19.38
598,571250626,weekend,13.34
599,571250628,weekend,9.12
600,571250630,weekend,22.01
601,571250642,weekend,22.01
602,571250644,weekend,22.01
603,571250646,weekend,22.46
604,571250650,weekend,22.46
605,571250652,weekend,22.46
606,571250656,weekend,19.24
607,571250658,weekend,9.15
608,571250660,weekend,15.98
611,571250782,weekend,15.38
612,571250782,weekend,14.6
613,571250784,weekend,14.6
614,571250784,weekend,15.38
615,571250878,weekend,73.53
616,571250880,weekend,73.53
617,571250950,weekend,29.05
618,571250950,weekend,39.72
619,571250952,weekend,39.72
620,571250952,weekend,29.05
623,571251156,weekend,50.0
624,571251156,weekend,51.87
625,571251158,weekend,51.87
626,571251158,weekend,50.0
627,571251162,weekend,46.42
628,571251162,weekend,58.83
629,571251166,weekend,50.0
630,571251166,weekend,51.87
631,571251168,weekend,39.85
633,571251206,weekend,27.53
634,571251270,weekend,13.24
635,571251270,weekend,13.83
636,571251272,weekend,13.83
637,571251272,weekend,13.24
638,571251340,weekend,51.87
639,571251340,weekend,50.0
640,571251342,weekend,50.0
641,571251342,weekend,51.87
642,571251346,weekend,50.0
643,571251346,weekend,51.87
644,571251350,weekend,51.87
645,571251350,weekend,50.0
646,571251358,weekend,12.92
647,571251358,weekend,14.38
648,571251360,weekend,14.38
649,571251360,weekend,12.92
650,571251366,weekend,10.75
651,571251366,weekend,13.24
652,571251368,weekend,13.24
653,571251368,weekend,10.75
654,571251374,weekend,71.24
655,571251376,weekend,71.24
656,571251482,weekend,16.09
657,571251482,weekend,15.05
661,571251516,weekend,15.05
662,571251516,weekend,16.09
663,571251530,weekend,30.7
664,571251530,weekend,33.14
665,571251590,weekend,30.08
666,571251590,weekend,30.31
667,571251592,weekend,30.31
668,571251592,weekend,30.08
669,571251690,weekend,30.09
670,571251690,weekend,31.43
671,571251704,weekend,43.84
672,571251704,weekend,41.27
673,571251706,weekend,41.27
674,571251706,weekend,43.84
675,571251792,weekend,33.04
676,571251792,weekend,37.05
677,571251794,weekend,37.05
678,571251794,weekend,33.04
679,571251796,weekend,16.4
680,571251796,weekend,19.8
681,571251800,weekend,32.32
682,571251800,weekend,36.34
683,571251802,weekend,36.34
684,571251802,weekend,32.32
685,571251842,weekend,21.62
686,571251844,weekend,18.48
687,571251846,weekend,17.65
688,571251848,weekend,20.72
689,571251850,weekend,19.68
690,571251852,weekend,21.42
